,ID,d0fc,d1fc,d4fc
65,GO:2001233,1.2716774539092965,1.3634278624482117,3.8122365648061125
66,GO:0045637,1.1154198389494978,1.377858122713327,3.9672264460777926
67,GO:1903039,1.0740897911856735,1.3664154330282625,3.4470384873685247
68,GO:0050867,1.0885340279431535,1.374692505814639,3.7529093967527527
69,GO:0006909,1.07362809794374,1.3583458438842404,3.6935040058064836
70,GO:0042098,1.0409583143651855,1.3072488349845868,3.2990815269626306
71,GO:0022409,1.0784135412916909,1.3666354881250924,3.402290241205214
72,GO:0002699,1.0874259186868107,1.3283348369010812,4.266871545177588
73,GO:0046651,1.040832711741028,1.358681931467758,3.5906317426989736
74,GO:0032943,1.040832711741028,1.358681931467758,3.5906317426989736
75,GO:0007162,1.1086250135161244,1.460503714067189,5.270593698345095
76,GO:0002832,1.0778549850919084,1.2605390313998093,2.6733666568432017
77,GO:0034341,1.0834263394838999,1.3264245597858324,3.190260383459716
78,GO:0050870,1.0771561876879814,1.3628963986321605,3.5402286702309596
79,GO:0097193,1.3339306281070273,1.41486812611019,3.88693613060526
80,GO:0002218,1.0969025666271661,1.3093839746185225,2.786397885485186
81,GO:0002449,1.0694693638166146,1.3844613648302377,4.060795689906236
82,GO:0002460,1.0743241805100905,1.4080745716275465,3.9868414994659367
83,GO:0042742,1.1969705278557001,1.5258534952340161,6.961169998758582
84,GO:0002274,1.0954468875564312,1.433620855152284,4.541353080898816
85,GO:0002221,1.1079513510749053,1.3304278755250973,2.854637138600981
86,GO:0016032,1.1092805277148647,1.3038727449622447,2.8031533767583223
87,GO:0002700,1.0523959467433655,1.41102547414869,3.835429317564973
88,GO:0050777,1.0612236694399617,1.3525101777291442,3.8821097391770234
89,GO:0030218,1.1119256783512526,1.3520763000503286,2.8520011884734524
90,GO:0051251,1.0745285258094885,1.381533231991875,3.6030209037267715
91,GO:0046631,1.0709787675929536,1.3790394518146172,3.7170435680726075
92,GO:0051402,1.1750387097440893,1.4686341882914662,5.092007595283621
93,GO:0002758,1.1079513510749053,1.3304278755250973,2.854637138600981
94,GO:0002573,1.0718372387222883,1.2705331716055257,3.615561687157199
95,GO:0045619,1.0738686197264122,1.3831307341856467,4.596318235616024
96,GO:0050921,1.1383638335694914,1.421066394651069,6.651632933565677
97,GO:0010631,1.3033711622909803,1.5970677719793596,6.89657197617512
98,GO:0090132,1.3033711622909803,1.5970677719793596,6.89657197617512
99,GO:0090130,1.3033711622909803,1.5970677719793596,6.89657197617512
100,GO:0006979,1.2203543197444602,1.5451788192357008,5.543950424143765
101,GO:0002440,1.0560313742504688,1.3810748806500457,3.6830642088407624
102,GO:0002526,1.3767952085408677,1.6160509776964633,19.228603500222977
103,GO:2001242,1.40805150839082,1.3963208674323928,4.413222859914957
104,GO:0071346,1.05933539225836,1.2873766943248515,3.045464494124352
105,GO:1901652,1.154302054410437,1.4375413147152676,3.887956516659308
106,GO:0050866,1.045190375579127,1.383123843529315,5.062475253572807
