"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"13294","ENSMUSG00000029204","Rhoh",2,3.87603957628635,0.501711465796343,0.560207988436958
"13295","ENSMUSG00000049864","Olfr250",1,2.78730601740609,0.501979245871557,0.560464830817405
"13296","ENSMUSG00000023333","Gcm1",1,2.58156859710068,0.502436477195491,0.560921809337164
"13297","ENSMUSG00000042439","Zfp532",7,15.2213726584242,0.502506117942364,0.560921809337164
"13298","ENSMUSG00000028108","Ecm1",5,16.9172658669722,0.502488918048231,0.560921809337164
"13299","ENSMUSG00000053963","Stum",1,1.8552865270847,0.502577476703333,0.560921809337164
"13300","ENSMUSG00000031373","Car5b",2,6.60587201048721,0.502561132689561,0.560921809337164
"13301","ENSMUSG00000074637","Sox2",1,1.44334732340627,0.502763481374924,0.561087220323989
"13302","ENSMUSG00000021177","Tdp1",3,5.84268985496962,0.50314158330381,0.561466972076511
"13303","ENSMUSG00000070939","Tgfbrap1",4,9.37862904723927,0.50366903204439,0.562013313663604
"13304","ENSMUSG00000032584","Mst1r",2,5.94489699732101,0.503796370981063,0.562113148740446
"13305","ENSMUSG00000040712","Camta2",5,12.360707323689,0.504525359633456,0.562884211830066
"13306","ENSMUSG00000024936","Kcnk7",2,4.49447012407837,0.504683611205105,0.563018452181616
"13307","ENSMUSG00000053164","Gpr21",1,2.350516162485,0.504790469722729,0.563095343245224
"13308","ENSMUSG00000037313","Tacc3",3,9.69627213076746,0.505205363111132,0.563515810792128
"13309","ENSMUSG00000046818","Ddit4l",1,5.34598884657188,0.505341015362489,0.563582421640931
"13310","ENSMUSG00000048100","Taf13",2,8.52706604745729,0.505328821603866,0.563582421640931
"13311","ENSMUSG00000022297","Fzd6",3,9.07054185179982,0.50540392608036,0.563598104334219
"13312","ENSMUSG00000075121","Olfr1195",1,2.60264953904388,0.505431013533894,0.563598104334219
"13313","ENSMUSG00000102440","Pcdhga9",2,3.93206774223913,0.505614397884995,0.563760243536759
"13314","ENSMUSG00000046798","Cldn12",1,2.58268460932279,0.505681285919434,0.563792474702425
"13315","ENSMUSG00000029283","Cdc7",1,3.54938301270126,0.505811990416958,0.563853498479222
"13316","ENSMUSG00000027384","Ndufaf5",1,4.23419269948839,0.505781413101113,0.563853498479222
"13317","ENSMUSG00000026782","Abi2",3,10.7456706339084,0.506048121839543,0.564074365141262
"13318","ENSMUSG00000043687","1190005I06Rik",1,1.798762031879,0.506163337346954,0.564160427960519
"13319","ENSMUSG00000060935","Tmem263",1,5.20004357313926,0.506431485276273,0.564416920747879
"13320","ENSMUSG00000039431","Mtmr7",3,5.6186768973878,0.506812189777564,0.564756410559129
"13321","ENSMUSG00000041406","BC055324",1,2.29734673726385,0.50678850477934,0.564756410559129
"13322","ENSMUSG00000047996","Prrg1",2,4.47980010606397,0.506924232733229,0.564838861334038
"13323","ENSMUSG00000018565","Elp5",3,8.82696758483969,0.506978891217347,0.56485736404941
"13324","ENSMUSG00000049580","Tsku",1,3.38753246109014,0.507116596016508,0.564968384214129
"13325","ENSMUSG00000027831","Veph1",1,2.45963414269047,0.507236175225211,0.56505919587565
"13326","ENSMUSG00000046079","Lrrc8d",4,12.5126216482612,0.507686141452164,0.565518016187597
"13327","ENSMUSG00000031833","Mast3",3,8.49946119904232,0.507838572815201,0.565645364663379
"13328","ENSMUSG00000070738","Dgkd",2,6.97203671136821,0.507971384595907,0.565750842807747
"13329","ENSMUSG00000068373","D430041D05Rik",1,1.42272919315714,0.508316529266097,0.566092772182905
"13330","ENSMUSG00000034391","Fbxo15",1,2.56140209891262,0.508901015683742,0.566701176054723
"13331","ENSMUSG00000046589","Lrrc8e",1,3.51796169594456,0.508967345353716,0.566732523773952
"13332","ENSMUSG00000050600","Zfp831",1,1.57226986789357,0.509218745474569,0.566927402521901
"13333","ENSMUSG00000035969","Rusc2",3,6.69390546253352,0.509215368629188,0.566927402521901
"13334","ENSMUSG00000020275","Rel",1,5.02597891889541,0.509475662304896,0.56714830378035
"13335","ENSMUSG00000057751","Megf6",3,9.31214408308039,0.509493575243261,0.56714830378035
"13336","ENSMUSG00000057203","Vmn1r234",1,3.48383986926571,0.509572851930966,0.567194017251294
"13337","ENSMUSG00000036292","Gramd1c",2,4.92521210360841,0.509823196133724,0.567394591690205
"13338","ENSMUSG00000074862","BC025920",2,4.39906400672146,0.509829497707084,0.567394591690205
"13339","ENSMUSG00000029538","Srsf9",2,6.99134954066781,0.509906337902609,0.567437565021841
"13340","ENSMUSG00000019990","Pde7b",4,8.85887843914687,0.510013824414608,0.567514633404081
"13341","ENSMUSG00000029602","Rasal1",1,2.15072209508068,0.51044331755988,0.567949974204247
"13342","ENSMUSG00000047731","Wbp1l",4,12.9039915858974,0.510598542144563,0.568080104901356
"13343","ENSMUSG00000030616","Sytl2",2,3.39491322090345,0.510842023469204,0.568308401137441
"13344","ENSMUSG00000075324","Fign",1,3.3800073307195,0.511025147962719,0.568469521609608
"13345","ENSMUSG00000037315","Jade3",1,2.12653060546989,0.51231846210352,0.56982281218827
"13346","ENSMUSG00000071516","H2ac13",1,2.96398082053332,0.512302244831876,0.56982281218827
"13347","ENSMUSG00000028318","Polr1e",2,4.28715218602267,0.512415976096684,0.569888570403774
"13348","ENSMUSG00000037730","Mynn",3,8.46420708786118,0.512566466725561,0.570013232849433
"13349","ENSMUSG00000030865","Chp2",1,2.26581235318309,0.512747468832968,0.570171805180656
"13350","ENSMUSG00000031364","Grpr",1,1.53384323948706,0.512810126764664,0.570198765670012
"13351","ENSMUSG00000060131","Atp8b4",1,2.34438991839159,0.512905460844601,0.570262052338945
"13352","ENSMUSG00000064360","mt-Nd3",1,7.0021129922717,0.513153620096919,0.570495231929199
"13353","ENSMUSG00000029510","Gpc2",1,1.76881367177334,0.513562884443002,0.570907470731065
"13354","ENSMUSG00000025212","Sfxn3",2,8.10188570628257,0.513636956440432,0.570947055668846
